Key,lang-en.json,lang-ht.json,lang-ru.json,lang-zh-hans.json,lang-ko.json,lang-vi.json,lang-es.json,lang-zh-hant.json
agi.p.investmentIncomeOver2,See :pub550 for more information., Gade :pub550 pou plis enfòmasyon.,Более подробную информацию см. :pub550.,欲了解更多信息，请参阅 :pub550。,구체적인 내용은 :pub550를 확인하세요.,Xem :pub550 để biết thêm thông tin.,"Para más información, consulte la :pub550 (Publicación 550, Ingresos y gastos de inversiones), en inglés.",請參閱 :pub550 以瞭解更多資訊。
agi.p.investmentIncomeOver3,"Use Worksheet 1 in :pub596, to figure your investment income.","Itilize Fèyè 1 nan :pub596, pou kalkile revni envestisman ou.","Используйте Учетную ведомость 1 в :pub596, чтобы рассчитать свой доход от инвестиций.",使用 :pub596 中的工作表 1 来计算您的投资收入。,귀하의 투자 소득을 계산하기 위해 :pub596에 작업표 1을 사용하세요.,Sử dụng Tờ Lược Toán 1 trong :pub596 để tính thu nhập đầu tư của quý vị.,"Utilice la hora de trabajo 1 de la :pub596, para calcular sus ingresos de inversiones.",使用 :pub596 中的工作表 1 以計算您的投資收入。
agi.p.investmentsTT1,Investment income for the EITC includes:,Revni envestisman pou EITC a gen ladan:,Инвестиционный доход для EITC включает:,符合 EITC 资格的投资收入包括：,근로 소득 세액공제에 대한 투자 소득은 다음이 포함됩니다.,Thu nhập đầu tư cho EITC bao gồm:,"Para los propósitos del crédito tributario por ingreso del trabajo (EITC, por sus siglas en inglés), el ingreso de inversión incluye:",EITC 的投資收入包括：
agi.p.investmentsTT2,See :irsPub550 for more information.,Gade :irsPub550 pou plis enfòmasyon.,Для получения дополнительной информации см. :irsPub550.,请参阅 :irsPub550，获取更多信息。,자세한 사항은 :irsPub550를 참조하세요.,Xem :irsPub550 để biết thêm thông tin.,Consulte la publicación :irsPub550 para obtener más información.,請參閱 :irsPub596，獲取更多資訊。
agi.p.investmentsTT3,"Use Worksheet 1 in :irsPub596, Earned Income Credit, to figure your investment income if any of the following statements are true for :year:",Itilize Fèy travay 1 nan :irsPub596 pou kalkile revni envestisman ou si nenpòt nan deklarasyon sa yo se vre pou :year:,"Используйте Рабочий лист 1 в :irsPub596, чтобы рассчитать свой инвестиционный доход, если любое из следующих утверждений верно на :year год:",如果在 :year 年符合以下任何陈述，请使用 :irsPub596 中的《工作表 1》来计算您的投资收入：,"간행물 596의 근로소득세액공제용 워크시트 1을 사용하여, 다음 항목 중 하나라도 :year 년에 해당되는 경우 투자소득을 계산하십시오.","Sử dụng Bảng tính 1 trong :irsPub596, để tính thu nhập đầu tư của quý vị nếu bất kỳ tuyên bố nào sau đây đúng cho năm :year:",Use la hoja de trabajo 1 de la :irsPub596 para calcular su ingreso de inversión si es que alguna de las siguientes le aplican a usted en el :year: ,如果在 :year 年符合以下任何陳述，請使用 :irsPub596 中的《工作表 1》來計算您的投資收入：
agi.p.iraTT1,Enter any IRA contributions you made outside of your payroll contributions.,Antre nenpòt kontribisyon IRA ou te fè andeyò kontribisyon sou pewòl ou.,"Введите любые взносы IRA, которые вы сделали помимо взносов в фонд заработной платы.",输入您在工资供款之外的任何个人退休账户供款。,귀하의 급여 기여분을 제외하고 귀하의 IRA 기여 금액을 입력하세요.,Nhập bất kỳ khoản đóng góp cho IRA nào mà quý vị đã thực hiện ngoài khoản đóng góp trong sổ lương của mình.,Ingrese cualquier aportación a una cuenta IRA que realizó fuera de sus aportaciones de la nómina.,填入您在工資投入金額之外所做的任何個人退休賬戶投入金額。
agi.p.iraTT2,:dontIncludeAmountsAbove,:dontIncludeAmountsAbove,:dontIncludeAmountsAbove,:dontIncludeAmountsAbove,:dontIncludeAmountsAbove,:dontIncludeAmountsAbove,:dontIncludeAmountsAbove,:dontIncludeAmountsAbove
agi.p.iraTT3,"For more information see, :iraDeductionLimits.",Pou plis enfòmasyon gade :iraDeductionLimits,Для получения дополнительной информации смотрите :iraDeductionLimits,欲了解更多信息，请参阅 :iraDeductionLimits,자세한 정보는 :iraDeductionLimits를 확인하세요.,"Để biết thêm thông tin, xem :iraDeductionLimits","Para obtener más información, consulte :iraDeductionLimits",如需瞭解更多資訊，請參閱 :iraDeductionLimits
agi.p.mfjIncludeSpouse,Make sure to also include your spouse's income and adjustments.,Asire w ou enkli revni konjwen w ak ajisteman yo tou.,Обязательно укажите также доход вашего супруга и поправки.,确保还包括您配偶的收入和调整。,귀하의 배우자의 소득과 조정액,Bảo đảm bao gồm cả thu nhập và các mục điều chỉnh của người phối ngẫu của quý vị.,Asegúrese de también incluir los ingresos y ajustes de su cónyuge.,確保還包括您配偶的收入和調整。
agi.p.movingTT1,"If you are a member of the armed forces on active duty, and the military ordered you to permanently change your duty station, enter any moving expenses the military didn't reimburse you for here. Moving expenses include:","Si w se yon manm aktif nan fòs lame, epi lame te ba ou lòd pou w tout tan ap chanje pozisyon estasyon travay ou, antre nenpòt frè deplasman lame pa te ranbouse w la a. Frè deplasman yo enkli:","Если вы служите в вооруженных силах на действительной службе, и военные приказали вам постоянно менять место службы, укажите здесь все расходы на переезд, которые военные не возместили вам. Издержки в связи с переездом включают:",如果您为现役军人，军方命令您永久改变任职地点，请在此处输入军方没有补偿的任何迁移支出。迁移支出包括：,"귀하가 현역 군인이라면 그리고 군대에서 귀하에게 영구적으로 근무 기지를 변경하도록 명령했다면, 군에서 보상하지 않은 이사 비용을 여기에 입력하세요. 이사 비용에는 다음이 포함됩니다.","Nếu quý vị là thành viên của quân độ đang tại ngũ và quân đội đã ra lệnh cho quý vị thay đổi vĩnh viễn nơi làm nhiệm vụ của mình, hãy nhập bất kỳ chi phí thuyên chuyển nào mà quân đội không hoàn trả cho quý vị vào đây. Các chi phí thuyên chuyển bao gồm:","Si es un miembro de las fuerzas armadas en servicio activo, y se le ordenó que cambiara su lugar de asignación de manera permanente, ingrese aquí cualquier gasto de mudanza que las fuerzas armadas no le reembolsaron. Los gastos de mudanza incluyen los siguientes:",如果您是現役武裝部隊成員，並且軍方命令您永久更改工作地點，請在此處填入您未經軍方核銷的任何搬家費用。搬家費用包括：
